ç
"Município","ibge","latitude","longitude","/Educação/Ens...de Série/Total 2013 (-)"
"Cidreira","4305454","-30.160399999990","-50.233800000000","28,5"
"Ciríaco","4305504","-28.341899999990","-51.874099999990","17,5"
"Colinas","4305587","-29.381499999990","-51.852600000000","28,0"
"Colorado","4305603","-28.525800000000","-52.992800000000","18,4"
"Condor","4305702","-28.207500000000","-53.490499999990","27,8"
"Constantina","4305801","-27.731999999990","-52.993800000000","14,3"
"Coqueiro Baixo","4305835","-29.172200000000","-52.098900000000","12,5"
"Coqueiros do Sul","4305850","-28.119399999990","-52.784199999990","17,5"
"Coronel Barros","4305871","-28.392199999990","-54.068600000000","26,9"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","19,4"
"Coronel Pilar","4305934","-29.268400000000","-51.687899999990","22,6"
"Cotiporã","4305959","-28.989100000000","-51.697099999990","7,5"
"Coxilha","4305975","-28.128000000000","-52.302300000000","19,6"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","19,9"
"Cristal","4306056","-31.004600000000","-52.043599999990","39,0"
"Cristal do Sul","4306072","-27.452000000000","-53.242199999990","12,2"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","28,1"
"Cruzaltense","4306130","-27.664400000000","-52.649200000000","17,7"
"Cruzeiro do Sul","4306205","-29.514800000000","-51.992800000000","28,8"
"David Canabarro","4306304","-28.384899999990","-51.848199999990","17,6"
"Derrubadas","4306320","-27.264199999990","-53.864500000000","7,4"
"Dezesseis de Novembro","4306353","-28.219000000000","-55.061700000000","16,9"
"Dilermando de Aguiar","4306379","-29.705400000000","-54.212200000000","37,5"
"Dois Irmãos","4306403","-29.583600000000","-51.089799999990","34,8"
"Dois Irmãos das Missões","4306429","-27.662099999990","-53.530400000000","39,7"
"Dois Lajeados","4306452","-28.983000000000","-51.839599999990","9,9"
"Dom Feliciano","4306502","-30.700399999990","-52.102600000000","40,3"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","37,5"
"Dom Pedro de Alcântara","4306551","-29.363900000000","-49.853000000000","39,3"
"Dona Francisca","4306700","-29.619499999990","-53.361699999990","40,9"
"Doutor Maurício Cardoso","4306734","-27.510300000000","-54.357799999990","18,8"
"Doutor Ricardo","4306759","-29.084000000000","-51.997100000000","17,6"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","51,9"
"Encantado","4306809","-29.235099999990","-51.870300000000","24,1"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","35,5"
"Engenho Velho","4306924","-27.706000000000","-52.914499999990","21,4"
"Entre Rios do Sul","4306957","-27.529800000000","-52.734699999990","24,1"
"Entre-ijuís","4306932","-28.368600000000","-54.268599999990","28,7"
"Erebango","4306973","-27.854399999990","-52.300500000000","22,4"
"Erechim","4307005","-27.636399999990","-52.269700000000","19,6"
"Ernestina","4307054","-28.497699999990","-52.583599999990","17,2"
"Erval Grande","4307203","-27.392600000000","-52.573999999990","23,7"
"Erval Seco","4307302","-27.544300000000","-53.500500000000","27,2"
"Esmeralda","4307401","-28.051800000000","-51.193300000000","30,3"
"Esperança do Sul","4307450","-27.360299999990","-53.989100000000","16,2"
"Espumoso","4307500","-28.728600000000","-52.846100000000","28,0"
"Estação","4307559","-27.913499999990","-52.263500000000","23,4"
"Estância Velha","4307609","-29.653500000000","-51.184300000000","21,4"
"Esteio","4307708","-29.852000000000","-51.184100000000","34,1"
"Estrela","4307807","-29.501600000000","-51.960500000000","17,8"
"Estrela Velha","4307815","-29.171299999990","-53.163899999990","21,7"
"Eugênio de Castro","4307831","-28.531500000000","-54.150599999990","25,3"
"Fagundes Varela","4307864","-28.879400000000","-51.701400000000","17,8"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","20,1"
"Faxinal do Soturno","4308003","-29.578800000000","-53.448399999990","25,5"
"Faxinalzinho","4308052","-27.423800000000","-52.678899999990","25,8"
"Fazenda Vilanova","4308078","-29.588500000000","-51.821700000000","23,5"
"Feliz","4308102","-29.452700000000","-51.303199999990","26,4"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","17,8"
"Floriano Peixoto","4308250","-27.861400000000","-52.083799999990","16,2"
"Fontoura Xavier","4308300","-28.981600000000","-52.344499999990","22,3"
"Formigueiro","4308409","-30.003499999990","-53.495899999990","40,0"
"Forquetinha","4308433","-29.379200000000","-52.091700000000","28,1"
"Fortaleza dos Valos","4308458","-28.798600000000","-53.224899999990","18,5"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","20,6"
"Garibaldi","4308607","-29.259000000000","-51.535200000000","20,5"
"Garruchos","4308656","-28.194400000000","-55.638300000000","37,5"
"Gaurama","4308706","-27.585599999990","-52.091500000000","22,6"
"General Câmara","4308805","-29.903199999990","-51.761200000000","41,2"
"Gentil","4308854","-28.431600000000","-52.033700000000","23,8"
"Getúlio Vargas","4308904","-27.891100000000","-52.229399999990","19,4"
"Giruá","4309001","-28.029699999990","-54.351700000000","26,3"
"Glorinha","4309050","-29.879799999990","-50.773400000000","31,9"
"Gramado","4309100","-29.373300000000","-50.876199999990","14,0"
"Gramado dos Loureiros","4309126","-27.442900000000","-52.914900000000","34,4"
"Gramado Xavier","4309159","-29.270600000000","-52.579500000000","32,1"
"Gravataí","4309209","-29.941299999990","-50.986899999990","27,5"
"Guabiju","4309258","-28.542100000000","-51.694800000000","18,6"
"Guaíba","4309308","-30.108599999990","-51.323300000000","30,6"
"Guaporé","4309407","-28.839900000000","-51.889499999990","17,0"
"Guarani das Missões","4309506","-28.149100000000","-54.562899999990","15,1"
"Harmonia","4309555","-29.545600000000","-51.418500000000","19,3"
"Herval","4307104","-32.024000000000","-53.394399999990","40,6"
"Herveiras","4309571","-29.455200000000","-52.655299999990","42,0"
"Horizontina","4309605","-27.628200000000","-54.305300000000","17,0"
"Hulha Negra","4309654","-31.406700000000","-53.866700000000","49,0"
"Humaitá","4309704","-27.569099999990","-53.969499999990","16,6"
"Ibarama","4309753","-29.420300000000","-53.129500000000","29,2"
"Ibiaçá","4309803","-28.056600000000","-51.859900000000","23,6"
"Ibiraiaras","4309902","-28.374099999990","-51.637700000000","10,5"
"Ibirapuitã","4309951","-28.624700000000","-52.515799999990","20,5"
"Ibirubá","4310009","-28.630199999990","-53.096100000000","25,1"
"Igrejinha","4310108","-29.569299999990","-50.791899999990","27,1"
"Ijuí","4310207","-28.388100000000","-53.920000000000","20,6"
"Ilópolis","4310306","-28.928200000000","-52.125799999990","16,3"
"Imbé","4310330","-29.975300000000","-50.128100000000","30,9"
"Imigrante","4310363","-29.350800000000","-51.774700000000","13,0"
"Independência","4310405","-27.835400000000","-54.188600000000","16,7"
"Inhacorá","4310413","-27.875200000000","-54.015000000000","24,4"
"Ipê","4310439","-28.817100000000","-51.285899999990","20,1"
"Ipiranga do Sul","4310462","-27.940400000000","-52.427100000000","19,4"
"Iraí","4310504","-27.195100000000","-53.254300000000","31,2"
"Itaara","4310538","-29.601299999990","-53.772500000000","40,0"
"Itacurubi","4310553","-28.791300000000","-55.244700000000","38,7"
"Itapuca","4310579","-28.776800000000","-52.169300000000","15,7"
"Itaqui","4310603","-29.131000000000","-56.551499999990","36,2"
"Itati","4310652","-29.488320000000","-50.113579999990","28,3"
"Itatiba do Sul","4310702","-27.384599999990","-52.453800000000","13,9"
"Ivorá","4310751","-29.523199999990","-53.584200000000","33,3"
"Ivoti","4310801","-29.599499999990","-51.153300000000","12,2"
"Jaboticaba","4310850","-27.634699999990","-53.276200000000","24,6"
"Jacuizinho","4310876","-29.021999999990","-53.053699999990","45,6"
"Jacutinga","4310900","-27.729099999990","-52.537199999990","19,4"
"Jaguarão","4311007","-32.560400000000","-53.377000000000","33,1"
"Jaguari","4311106","-29.493600000000","-54.703000000000","25,3"
"Jaquirana","4311122","-28.881100000000","-50.363700000000","23,4"
"Jari","4311130","-29.292200000000","-54.223700000000","39,7"
"Jóia","4311155","-28.643500000000","-54.114100000000","24,9"
"Júlio de Castilhos","4311205","-29.229800000000","-53.677199999990","31,5"
"Lagoa Bonita do Sul","4311239","-29.488199999990","-53.013800000000","17,3"
"Lagoa dos Três Cantos","4311270","-28.567599999990","-52.861800000000","13,3"
"Lagoa Vermelha","4311304","-28.209299999990","-51.524799999990","26,0"
"Lagoão","4311254","-29.234800000000","-52.799700000000","16,3"
"Lajeado","4311403","-29.459099999990","-51.964399999990","21,9"
"Lajeado do Bugre","4311429","-27.691299999990","-53.181800000000","30,1"
"Lavras do Sul","4311502","-30.807099999990","-53.893099999990","47,7"
"Liberato Salzano","4311601","-27.600999999990","-53.075299999990","27,3"
"Lindolfo Collor","4311627","-29.585899999990","-51.214100000000","28,3"
"Linha Nova","4311643","-29.467900000000","-51.200299999990","8,0"
"Maçambará","4311718","-29.144500000000","-56.067399999990","38,4"
"Machadinho","4311700","-27.566700000000","-51.666800000000","22,2"
"Mampituba","4311734","-29.213600000000","-49.931100000000","31,9"
"Manoel Viana","4311759","-29.585899999990","-55.484099999990","43,2"
"Maquiné","4311775","-29.679800000000","-50.207900000000","31,6"
"Maratá","4311791","-29.545700000000","-51.557299999990","16,3"
"Marau","4311809","-28.449800000000","-52.198599999990","17,9"
"Marcelino Ramos","4311908","-27.467600000000","-51.909500000000","24,3"
"Mariana Pimentel","4311981","-30.353100000000","-51.580300000000","26,9"
"Mariano Moro","4312005","-27.356800000000","-52.146700000000","12,5"
"Marques de Souza","4312054","-29.331099999990","-52.097299999990","24,7"
"Mata","4312104","-29.564900000000","-54.464100000000","27,2"
"Mato Castelhano","4312138","-28.280000000000","-52.193199999990","17,5"
"Mato Leitão","4312153","-29.528500000000","-52.127800000000","27,1"
"Mato Queimado","4312179","-28.247500000000","-54.619199999990","12,1"
"Maximiliano de Almeida","4312203","-27.632500000000","-51.802100000000","29,2"
"Minas do Leão","4312252","-30.134599999990","-52.042299999990","35,4"
"Miraguaí","4312302","-27.497000000000","-53.689100000000","31,3"
"Montauri","4312351","-28.646200000000","-52.076700000000","15,8"
"Monte Alegre dos Campos","4312377","-28.680499999990","-50.783400000000","15,0"
"Monte Belo do Sul","4312385","-29.160699999990","-51.633299999990","25,0"
"Montenegro","4312401","-29.682400000000","-51.467900000000","24,9"
"Mormaço","4312427","-28.696800000000","-52.699900000000","17,5"
"Morrinhos do Sul","4312443","-29.357800000000","-49.932800000000","14,3"
"Morro Redondo","4312450","-31.588699999990","-52.626100000000","40,2"
"Morro Reuter","4312476","-29.537900000000","-51.081099999990","23,8"
"Mostardas","4312500","-31.105399999990","-50.916699999990","36,2"
"Muçum","4312609","-29.163000000000","-51.871400000000","18,5"
"Muitos Capões","4312617","-28.313199999990","-51.183599999990","24,7"
"Muliterno","4312625","-28.325299999990","-51.769700000000","30,3"
"Não-Me-Toque","4312658","-28.454799999990","-52.818199999990","30,6"
"Nicolau Vergueiro","4312674","-28.529800000000","-52.467599999990","7,0"
"Nonoai","4312708","-27.368900000000","-52.775599999990","20,2"
"Nova Alvorada","4312757","-28.682200000000","-52.163100000000","16,7"
"Nova Araçá","4312807","-28.653700000000","-51.745800000000","11,4"
"Nova Bassano","4312906","-28.729099999990","-51.707200000000","24,4"
"Nova Boa Vista","4312955","-27.992599999990","-52.978400000000","10,2"
"Nova Bréscia","4313003","-29.218200000000","-52.031900000000","10,0"
"Nova Candelária","4313011","-27.613700000000","-54.107399999990","29,0"
"Nova Esperança do Sul","4313037","-29.406600000000","-54.829300000000","28,8"
"Nova Hartz","4313060","-29.580700000000","-50.905099999990","27,2"
"Nova Pádua","4313086","-29.027500000000","-51.309800000000","10,7"
"Nova Palma","4313102","-29.471000000000","-53.468899999990","16,9"
"Nova Petrópolis","4313201","-29.374099999990","-51.113500000000","16,7"
"Nova Prata","4313300","-28.779900000000","-51.611300000000","26,4"
"Nova Ramada","4313334","-28.066700000000","-53.699199999990","14,3"
"Nova Roma do Sul","4313359","-28.988199999990","-51.409500000000","17,1"
"Nova Santa Rita","4313375","-29.852499999990","-51.283700000000","42,5"
"Novo Barreiro","4313490","-27.907699999990","-53.110300000000","27,2"
"Novo Cabrais","4313391","-29.733799999990","-52.948900000000","26,2"
"Novo Hamburgo","4313409","-29.687600000000","-51.132800000000","22,5"
"Novo Machado","4313425","-27.576499999990","-54.503599999990","26,2"
"Novo Tiradentes","4313441","-27.564900000000","-53.183700000000","32,6"
"Novo Xingu","4313466","-27.743099999990","-53.061599999990","15,8"
"Osório","4313508","-29.888100000000","-50.266700000000","24,9"
"Paim Filho","4313607","-27.707500000000","-51.762999999990","15,7"
"Palmares do Sul","4313656","-30.253499999990","-50.510300000000","21,4"
"Palmeira das Missões","4313706","-27.900600000000","-53.313400000000","24,5"
"Palmitinho","4313805","-27.359600000000","-53.558000000000","19,4"
"Panambi","4313904","-28.283300000000","-53.502299999990","22,5"
"Pantano Grande","4313953","-30.190100000000","-52.372900000000","21,4"
"Paraí","4314001","-28.596399999990","-51.789600000000","14,1"
"Paraíso do Sul","4314027","-29.671700000000","-53.143999999990","22,0"
"Pareci Novo","4314035","-29.636500000000","-51.397399999990","11,9"
"Parobé","4314050","-29.624300000000","-50.831200000000","25,2"
"Passa Sete","4314068","-29.457699999990","-52.959899999990","20,2"
"Passo do Sobrado","4314076","-29.748000000000","-52.274799999990","32,0"
"Passo Fundo","4314100","-28.257600000000","-52.409100000000","23,4"
"Paulo Bento","4314134","-27.697800000000","-52.426099999990","32,0"
"Paverama","4314159","-29.548500000000","-51.733899999990","17,0"
"Pedras Altas","4314175","-31.721699999990","-53.583799999990","56,0"
"Pedro Osório","4314209","-31.864200000000","-52.818399999990","25,4"
"Pejuçara","4314308","-28.428300000000","-53.657899999990","15,6"
"Pelotas","4314407","-31.764900000000","-52.337100000000","38,0"
"Picada Café","4314423","-29.446400000000","-51.136699999990","14,2"
"Pinhal","4314456","-27.507999999990","-53.208199999990","24,3"
"Pinhal da Serra","4314464","-27.863399999990","-51.170200000000","31,4"
"Pinhal Grande","4314472","-29.344999999990","-53.320700000000","18,6"
"Pinheirinho do Vale","4314498","-27.210899999990","-53.607999999990","22,3"
"Pinheiro Machado","4314506","-31.579400000000","-53.379800000000","53,9"
"Pinto Bandeira","4314548","-29.000000000000","-54.000000000000","19,4"
"Pirapó","4314555","-28.043900000000","-55.200099999990","18,2"
"Piratini","4314605","-31.447299999990","-53.097299999990","33,6"
"Planalto","4314704","-27.329699999990","-53.057500000000","28,5"
"Poço das Antas","4314753","-29.448100000000","-51.671900000000","25,3"
"Pontão","4314779","-28.058499999990","-52.679099999990","20,7"
"Ponte Preta","4314787","-27.658700000000","-52.484800000000","31,9"
"Portão","4314803","-29.701499999990","-51.242899999990","24,9"
"Porto Alegre","4314902","-30.032778000000","-51.230000000000","32,3"
"Porto Lucena","4315008","-27.856900000000","-55.009999999990","19,6"
"Porto Mauá","4315057","-27.579599999990","-54.665700000000","20,3"
"Porto Vera Cruz","4315073","-27.740500000000","-54.899400000000","20,5"
"Porto Xavier","4315107","-27.908200000000","-55.137900000000","22,9"
"Pouso Novo","4315131","-29.173800000000","-52.213600000000","9,8"
"Presidente Lucena","4315149","-29.517600000000","-51.179800000000","17,5"
"Progresso","4315156","-29.244199999990","-52.319699999990","22,3"
"Protásio Alves","4315172","-28.757200000000","-51.475700000000","11,9"
"Putinga","4315206","-29.004500000000","-52.156900000000","14,2"
"Quaraí","4315305","-30.384000000000","-56.448300000000","37,9"
"Quatro Irmãos","4315313","-27.816299999990","-52.441899999990","47,5"
"Quevedos","4315321","-29.350400000000","-54.078899999990","25,5"
"Quinze de Novembro","4315354","-28.746500000000","-53.101100000000","24,8"
"Redentora","4315404","-27.664000000000","-53.640700000000","35,8"
"Relvado","4315453","-29.116399999990","-52.077800000000","25,4"
"Restinga Sêca","4315503","-29.818800000000","-53.380699999990","25,4"
"Rio dos Índios","4315552","-27.297300000000","-52.841700000000","15,9"
"Rio Grande","4315602","-32.034900000000","-52.107100000000","33,0"
"Rio Pardo","4315701","-29.988000000000","-52.371099999990","28,3"
"Riozinho","4315750","-29.638999999990","-50.448799999990","15,7"
"Roca Sales","4315800","-29.288399999990","-51.865800000000","23,6"
"Rodeio Bonito","4315909","-27.474200000000","-53.170600000000","20,8"
"Rolador","4315958","-28.257670000000","-54.818640000000","18,6"
"Rolante","4316006","-29.646200000000","-50.581899999990","21,8"
"Ronda Alta","4316105","-27.775800000000","-52.805599999990","26,7"
"Rondinha","4316204","-27.831499999990","-52.908099999990","11,8"
"Roque Gonzales","4316303","-28.129700000000","-55.026600000000","26,9"
"Rosário do Sul","4316402","-30.251500000000","-54.922100000000","34,2"
"Sagrada Família","4316428","-27.708500000000","-53.135100000000","25,5"
"Saldanha Marinho","4316436","-28.394100000000","-53.097000000000","19,8"
"Salto do Jacuí","4316451","-29.095099999990","-53.213299999990","29,1"
"Salvador das Missões","4316477","-28.123300000000","-54.837299999990","9,6"
"Salvador do Sul","4316501","-29.438600000000","-51.507700000000","29,2"
"Sananduva","4316600","-27.946999999990","-51.807899999990","22,9"
"Santa Bárbara do Sul","4316709","-28.365300000000","-53.250999999990","28,8"
"Santa Clara do Sul","4316758","-29.474699999990","-52.084299999990","18,6"
"Santa Cruz do Sul","4316808","-29.722000000000","-52.434300000000","25,9"
"Santa Margarida do Sul","4316972","-30.329599999990","-54.082299999990","33,3"
"Santa Maria","4316907","-29.686800000000","-53.814999999990","26,6"
"Santa Maria do Herval","4316956","-29.490200000000","-50.991900000000","25,9"
"Santa Rosa","4317202","-27.870200000000","-54.479599999990","22,4"
"Santa Tereza","4317251","-29.165500000000","-51.735100000000","27,1"
"Santa Vitória do Palmar","4317301","-33.524999999990","-53.371699999990","46,7"
"Santana da Boa Vista","4317004","-30.869700000000","-53.109999999990","29,2"
"Santana do Livramento","4317103","-30.887699999990","-55.531500000000","31,2"
"Santiago","4317400","-29.189699999990","-54.866599999990","20,4"
"Santo Ângelo","4317509","-28.300100000000","-54.266800000000","22,7"
"Santo Antônio da Patrulha","4317608","-29.826799999990","-50.517499999990","19,3"
"Santo Antônio das Missões","4317707","-28.513999999990","-55.225099999990","32,5"
"Santo Antônio do Palma","4317558","-28.495600000000","-52.026699999990","4,3"
"Santo Antônio do Planalto","4317756","-28.403099999990","-52.699199999990","31,1"
"Santo Augusto","4317806","-27.852599999990","-53.777600000000","19,8"
"Santo Cristo","4317905","-27.826300000000","-54.661999999990","21,2"
"Santo Expedito do Sul","4317954","-27.907399999990","-51.643300000000","9,2"
"São Borja","4318002","-28.657800000000","-56.003599999990","30,4"
"São Domingos do Sul","4318051","-28.531199999990","-51.886000000000","19,8"
"São Francisco de Assis","4318101","-29.554700000000","-55.125300000000","27,8"
"São Francisco de Paula","4318200","-29.440400000000","-50.582799999990","18,9"
"São Gabriel","4318309","-30.333700000000","-54.321700000000","35,8"
"São Jerônimo","4318408","-29.971599999990","-51.725099999990","41,1"
"São João da Urtiga","4318424","-27.819500000000","-51.825699999990","15,4"
"São João do Polêsine","4318432","-29.619399999990","-53.443899999990","27,4"
"São Jorge","4318440","-28.498400000000","-51.706400000000","12,9"
"São José das Missões","4318457","-27.778900000000","-53.122599999990","25,5"
"São José do Herval","4318465","-29.052000000000","-52.295000000000","25,3"
"São José do Hortêncio","4318481","-29.527999999990","-51.245000000000","19,5"
"São José do Inhacorá","4318499","-27.725100000000","-54.127499999990","8,0"
"São José do Norte","4318507","-32.015099999990","-52.033099999990","49,4"
"São José do Ouro","4318606","-27.770700000000","-51.596600000000","26,6"
"São José do Sul","4318614","-29.529000000000","-51.487099999990","12,5"
"São José dos Ausentes","4318622","-28.747599999990","-50.067700000000","19,0"
"São Leopoldo","4318705","-29.754500000000","-51.149799999990","29,8"
"São Lourenço do Sul","4318804","-31.356400000000","-51.971499999990","33,7"
"São Luiz Gonzaga","4318903","-28.411999999990","-54.955900000000","23,8"
"São Marcos","4319000","-28.967700000000","-51.069600000000","23,1"
"São Martinho","4319109","-27.711200000000","-53.969900000000","33,1"
"São Martinho da Serra","4319125","-29.539700000000","-53.859000000000","25,8"
"São Miguel das Missões","4319158","-28.556000000000","-54.555900000000","34,9"
"São Nicolau","4319208","-28.183399999990","-55.265400000000","22,3"
"São Paulo das Missões","4319307","-28.019500000000","-54.940399999990","21,5"
"São Pedro das Missões","4319364","-27.773219999990","-53.250470000000","45,5"
"São Pedro do Butiá","4319372","-28.124300000000","-54.892600000000","21,2"
"São Pedro do Sul","4319406","-29.620200000000","-54.185499999990","36,5"
